remove,free,email,you,charExclamation,capitalAve,capitalTotal,type
0,0,0,0,0,5.857,41,nonspam
0,0,0,0.76,0,2.297,193,nonspam
0,0,0,2,0,5.888,53,nonspam
0,0,0,0.58,0,3.552,373,nonspam
0,0,0,2,0,5.888,53,nonspam
0,0,0,1.58,0.149,1.482,43,nonspam
0,0,0,3.33,0,1.375,11,nonspam
0,0.33,0.33,0.33,0,2.016,125,nonspam
0,0,0,0,0,1,14,nonspam
0,0,0,3.33,0,1.3,13,nonspam
0,0,0,1.36,0,2.604,250,nonspam
0,0,0,0,0,2,16,nonspam
0,0,0,0,0,1.428,10,nonspam
0,0,0,0,0,2.097,86,nonspam
0,0,0,4.16,0.74,1.625,13,nonspam
0,0,0.26,4.27,0,1.58,128,nonspam
0,0,0,0,0,2.662,418,nonspam
0,0,0,0,0.176,1.758,51,nonspam
0,0,2.46,1.23,0.278,1.736,66,nonspam
0,3.7,0,3.7,0,1.166,7,nonspam
0,0,0,1.94,0.031,1.564,194,nonspam
0,0,0,3.33,0,1.75,14,nonspam
0,0,0,0,0,4.06,1003,nonspam
0,0,0,0,0,1.6,16,nonspam
0,0.17,0,1.19,0.167,1.894,216,nonspam
0,0,0,1.32,0,1.613,71,nonspam
0,0,0,9.52,0,1.142,8,nonspam
0,0,0,0.99,0,9.31,1108,nonspam
0,0,0,1.78,0,1.731,116,nonspam
0,0,0,4.54,0,1,5,nonspam
0,0,0.86,6.95,0,1.047,22,nonspam
0,0,0.25,0.51,0,1.287,85,nonspam
0,0,0,0,0,1.75,21,nonspam
0,0,0,3.12,0,1,8,nonspam
0,0,3.22,3.22,0,1.083,13,nonspam
0,0,0,4.63,0,3.968,127,nonspam
0,0,1.55,2.32,0.099,2.325,93,nonspam
0,0,0,0,0,3.983,239,nonspam
0,0,0,0,0,3.125,25,nonspam
0,0,0,0,0,4.037,214,nonspam
0,0,0,0,0,1.666,5,nonspam
0,0,0,0.34,0,2.147,131,nonspam
0,0,0,0,0,2.333,119,nonspam
0,0,0,0,0,1.848,61,nonspam
0,0,0,5.6,0,1.909,21,nonspam
0,0,0,1.36,0,2.307,30,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0,0.396,2.533,38,nonspam
0,0,0,2.63,0,4.166,50,nonspam
0,0,0.56,3.41,0,1.834,200,nonspam
0,0,0,4.76,0,50,100,nonspam
0,0,0,1.3,0,1.3,104,nonspam
0,0,0,0,0,4.791,115,nonspam
0,0,0,1.5,0,3.657,128,nonspam
0,0,0,1.96,0,3.129,97,nonspam
0,0,0,0.87,0,13.562,434,nonspam
0,0,0,0,0,1.615,21,nonspam
0,0.11,0,0.95,0.056,2.546,601,nonspam
0,0,0.39,3.12,0.07,2.069,89,nonspam
0,0,0,2.35,0,1.551,45,nonspam
0,0,0,0,0,4.8,24,nonspam
0,0,0,1.05,0,2.173,113,nonspam
0,0,0,0,0,3.36,84,nonspam
0,0,0,1.98,0,1.962,155,nonspam
0,0.16,0,3.04,0,1.798,196,nonspam
0,1.49,0,2.98,0,1.761,37,nonspam
0,0,0,0,0,1.924,102,nonspam
0,0,0,2.9,0,1.794,70,nonspam
0,0,0,2.24,0,1.79,111,nonspam
0,0,0,0,0,1.88,47,nonspam
0,0,0,0,0,3.555,64,nonspam
0,0,0,3.5,0,2.085,73,nonspam
0,0,0,2.29,0,3.74,101,nonspam
0,0,0,1.58,0,3.461,90,nonspam
0,0,0,0.96,0.058,1.068,47,nonspam
0,0,0,3.08,0,1,20,nonspam
0,0,0,0,0,2,6,nonspam
0,0,0,3.97,0.08,2.396,139,nonspam
0,0,1.88,0,0,1.533,23,nonspam
0,0,0,0,0,1.166,14,nonspam
0,0,0,0,0,2.466,37,nonspam
0,0,0,0,0,1.714,36,nonspam
0,0,0,0,0,1.666,30,nonspam
0,0,0,0,0,1,15,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0.97,5.82,0,2.187,70,nonspam
0,0,0,1.19,0,2.617,89,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,1.36,0,1.421,91,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,0,0,3.083,37,nonspam
0,0,0,0,0,4.36,109,nonspam
0,0,0,3.69,0,2.016,244,nonspam
0,0,0,0,0,3.333,30,nonspam
0,0,0,0,0,2.367,651,nonspam
0,0,0,3.22,0,1.6,8,nonspam
0,0,0,0,0.408,6.187,99,nonspam
0,0,0,0.32,0,1.677,156,nonspam
0,0,0,0.47,0,1.486,162,nonspam
0,0,0,2,0,5.888,53,nonspam
0,0,0,0,0,1.6,64,nonspam
0,0,0,0,0.159,1.45,74,nonspam
0,0.14,0,0.73,0.14,1.891,522,nonspam
0,0,0,2.28,0,1.32,103,nonspam
0,0,0,0,0,4.586,133,nonspam
0,0.51,0,0.51,0,2.076,108,nonspam
0,0,0,1.84,0,1.476,62,nonspam
0,0,0,1.83,0,1.918,71,nonspam
0,0,0,0,0.241,3.541,85,nonspam
0,0,0,0,0,3.722,268,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,0,0,2.022,451,nonspam
0,0,0,0.72,0.114,1.645,51,nonspam
0,0,0,0.81,0,1.636,36,nonspam
0,0,0,0,0,1,8,nonspam
0,0,0.85,2.56,0,1.717,67,nonspam
0,0,0.61,1.84,0.19,1.857,104,nonspam
0,0.35,0.35,0.35,0,1.226,146,nonspam
0,0,0,0.54,0.087,2.363,52,nonspam
0,0,0,2.22,0,1.769,23,nonspam
0,0,0,0,0,1.181,13,nonspam
0,0,1.36,2.04,0,2.461,96,nonspam
0,0,0,0,0,2,10,nonspam
0,0,0,0,0,1.795,79,nonspam
0,0,0,0,0,5.111,138,nonspam
0,0,0,0.35,0,1.506,119,nonspam
0,0,0,0,0.48,2,26,nonspam
0,0,0,0.5,0,1.712,137,nonspam
0,0,0,0.33,0,2.519,131,nonspam
0,0,0,0.56,0,1.15,46,nonspam
0,0,0,0,0,2.188,232,nonspam
0,0,0.4,5.26,0.27,2.36,59,nonspam
0,0,0,0,0.581,1.615,21,nonspam
0,0.84,0.42,1.9,0.374,2.892,405,nonspam
0,0,0,1.17,0,2.882,49,nonspam
0,0.22,0,0,0,2.182,203,nonspam
0,0,0,0,0,2.145,693,nonspam
0,0.22,0,0.68,0,1.649,94,nonspam
0,0,0,0,0,1.6,64,nonspam
0,0,0,0,1.149,1.5,12,nonspam
0,0,0,0.81,0,1.09,12,nonspam
0,0,0,0,0,2.925,117,nonspam
0,0,0,0,0,1,8,nonspam
0,0,0.67,1.34,0,1.285,27,nonspam
0,0,0,1.65,0,1.84,46,nonspam
0,0,0,2.7,0,1.88,47,nonspam
0,0,1.56,1.56,0,1,11,nonspam
0,0,0,0,0,1.903,59,nonspam
0,0,0,0,0,3.333,30,nonspam
0,0,0,1.63,0,4.608,424,nonspam
0,0,0,2.63,0.414,2.705,46,nonspam
0,0,0.2,0.2,0,1.669,187,nonspam
0,1.33,0,0.89,0.372,3.425,411,nonspam
0,0,0,2.66,0,2.166,52,nonspam
0,0,0,0,0,2.333,7,nonspam
0,0,0.62,1.25,0.169,1.863,82,nonspam
0,0.16,0,0.71,0.031,1.83,1479,nonspam
0,0,0,0,0.333,4.255,200,nonspam
0,0,0.29,0.89,0.016,1.679,178,nonspam
0,0,0.29,0.89,0.016,1.679,178,nonspam
0,0,0.29,0.89,0.016,1.679,178,nonspam
0,0,0,3.75,0.054,2.735,145,nonspam
0,0,0,4,0.729,1.875,15,nonspam
0,0,0,4.2,0,1.454,32,nonspam
0,0,0,0,0.249,2.576,67,nonspam
0,0,0,4.34,0,1.333,12,nonspam
0,0,0,0,0,1.8,72,nonspam
0,0,0,0,0,2.565,59,nonspam
0,0,0,0,0,2.121,751,nonspam
0,0,0,3.29,0,1.111,20,nonspam
0,0,0,0,0,1.64,41,nonspam
0,0,0,0,0,1.166,14,nonspam
0,0,0,0,0,1.502,257,nonspam
0,0,0,0,0,2,24,nonspam
0,0,0,6.38,0,1.133,17,nonspam
0,0,0.68,1.36,0,2.102,82,nonspam
0,0,0,0.39,0.125,1.955,133,nonspam
0,0,0,0,0,1.535,238,nonspam
0,0,0,0.68,0,2.277,123,nonspam
0,0,0,1.92,0.106,2.714,95,nonspam
0,0,0,0.2,0,2.703,346,nonspam
0,0,0,1.75,0,1.344,39,nonspam
0,0,0,0,0,2.875,115,nonspam
0,0,0,0.43,0.079,4.411,300,nonspam
0,0,0.05,0.21,0,3.461,1170,nonspam
0,0,0.07,0.29,0,2.79,681,nonspam
0,0,0,0.6,0.033,2.056,364,nonspam
0,0,0,0,0,1.25,5,nonspam
0,0,0,0.14,0,2.345,333,nonspam
0,0,0,2.04,0,1.1,11,nonspam
0,0,0,0,0,2.076,27,nonspam
0,0,0,2.77,0,3.25,39,nonspam
0,0,0,0,0,2.133,64,nonspam
0,0,0,0,0,1.904,80,nonspam
0,0.06,0,0,0,2.423,693,nonspam
0,0,0,0.76,0,1.352,46,nonspam
0,0.13,0.08,0.24,0.003,2.201,2631,nonspam
0,0,0,0,0.436,1.7,17,nonspam
0,0,0,0,0.769,1.428,10,nonspam
0,0.06,0,0,0,2.423,693,nonspam
0,0,0,0.79,0,1.166,42,nonspam
0,0,0,0,0,3.379,98,nonspam
0,0,0,0.16,0,1.638,154,nonspam
0,0,0,0,0,1.813,107,nonspam
0,0.67,0,4.05,0,3.27,121,nonspam
0,0,0,0,0,3.222,29,nonspam
0,1.63,0,1.63,0,1.181,13,nonspam
0,0,3.44,0,0,1.727,19,nonspam
0,0,0,0.66,0,3.627,341,nonspam
0,0,0,0,0.239,1.923,50,nonspam
0,0,0,0.53,0,3.731,153,nonspam
0,0,0,0,0,1,7,nonspam
0,0,0,1.55,0.281,1.363,45,nonspam
0,0,0,8.33,0.925,1.833,11,nonspam
0,0,0,0,0,3.333,30,nonspam
0,0,0,0,0,1.536,106,nonspam
0,0,0,0,0,1.6,8,nonspam
0,1.96,0,0,0,1.647,28,nonspam
0,0,0,1.06,0.168,1.75,63,nonspam
0,0,0,0,0,2.714,76,nonspam
0,0.64,0,0.64,0,1.727,57,nonspam
0,0.47,0,0,0,1.233,37,nonspam
0,0,0,0,0,1.333,4,nonspam
0,0,0,0,0,1.14,65,nonspam
0,1.38,0,1.38,0,1.666,35,nonspam
0,0,0,3.7,0.349,1.47,25,nonspam
0.59,0,0.89,3.58,0.044,1.6,120,nonspam
0,0,0,0,0,3.25,286,nonspam
0,0,0,0,0.523,2.571,36,nonspam
0,0,0,0,0,2.023,694,nonspam
0,0,0,2.05,0,1.294,44,nonspam
0,0,0.29,0.74,0,1.803,238,nonspam
0,0,0.12,0.03,0.128,3.427,1827,nonspam
0,0,0,0,0,2.235,199,nonspam
0,0,0,0,0.296,5.25,63,nonspam
0,0,0,3.54,0,1.375,55,nonspam
0,0,0,3.84,0.225,1.902,78,nonspam
0,0,0,0,0,1.259,34,nonspam
0,0,0,9.09,0,1,6,nonspam
0,0,0,0,0,3.5,49,nonspam
0,0,0,0,1.123,1.3,13,nonspam
0,0,0,1.45,0,1.785,75,nonspam
0,0,0,0,0,2.187,35,nonspam
0,0,1.98,2.97,0.081,1.348,58,nonspam
0,0,0.52,0,0,3.888,140,nonspam
0,0,0,8.1,0,1,5,nonspam
0,0,0,8.1,0,1,5,nonspam
0,0,0,8.1,0,1,5,nonspam
0,0,0,8.1,0,1,5,nonspam
0,0,0,0,0,2.3,138,nonspam
0,0,0,8.1,0,1.8,9,nonspam
0,0,0.62,0.41,0,2.797,512,nonspam
0.04,0.13,0,1.3,0.027,1.784,1192,nonspam
0,0,0,0.99,0,1.478,34,nonspam
0,0,0,1.4,0,17.952,377,nonspam
0,0,1.19,0.59,0.088,1.8,81,nonspam
0,0,0,1.07,0,1.564,194,nonspam
0,0,0,1.02,0,1.29,40,nonspam
0,0,0,1.24,0.02,2.78,367,nonspam
0,0,0,0,0,1,3,nonspam
0,0,0,0,0,2.454,27,nonspam
0,0,0,0,0,2,124,nonspam
0,0,0.79,0,0,2.575,103,nonspam
0,0,0,0,0,4.341,178,nonspam
0,0,0,1.63,0,1.545,17,nonspam
0,0,0,1.22,0.063,1.611,116,nonspam
0,0,0,0,0,1.3,13,nonspam
0,0,0,1.21,0,1.166,21,nonspam
0,0,3.48,0,0.139,1.515,50,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0,0,1.153,15,nonspam
0,0,0,0.99,0,9.31,1108,nonspam
0,0,0,1.5,0.075,1.483,89,nonspam
0,0.83,1.66,2.91,0.329,2.962,157,nonspam
0,0,1.12,1.12,0,4.689,136,nonspam
0,0,0.32,1.28,0.052,2.258,192,nonspam
0,0,0.5,1.5,0.084,2.303,129,nonspam
0,0,0,0,0,4.208,101,nonspam
0,0,1.19,0,0.286,2.724,79,nonspam
0,0,0,2.46,0.041,1.792,224,nonspam
0,0,0,1.56,0,3,81,nonspam
0,0,0,4.76,0,1.8,9,nonspam
0,0.13,0.01,0.07,0,2.589,2349,nonspam
0,0,0,0,0,2,16,nonspam
0,0,0,0,0,1.6,8,nonspam
0,0,0.05,0.21,0,2.758,1073,nonspam
0,0,0,0,0,1.8,9,nonspam
0,0,0,1.36,0,3.142,88,nonspam
0,0,0,2.37,0,1.851,100,nonspam
0,0,0,1.14,0.276,1.104,53,nonspam
0,0,0,0,0,2.921,111,nonspam
0,0,0,3.44,0,1.5,15,nonspam
0,0,0,0,0,2.296,473,nonspam
0,0,0,1.68,0.413,3.052,116,nonspam
0,0.42,0.42,2.12,0.134,2.202,163,nonspam
0,0,0,0.26,0,2.724,237,nonspam
0,0,0,0,0,1.333,8,nonspam
0,0,0,0,0,1,10,nonspam
0,0,0,0.67,0.217,1.34,67,nonspam
0,0,0,0,0,2.5,10,nonspam
0,0,0,0,0,1.607,45,nonspam
0,0,0,2.32,0,2.125,51,nonspam
0,0,0,0,0,6.8,34,nonspam
0,0,0,0,0,1.125,9,nonspam
0,0,0,0,0,1.655,48,nonspam
0,0,0,0,0,1.181,13,nonspam
0,0,1.13,2.27,0,1,11,nonspam
0,0,0,0,0,2.941,100,nonspam
0,0,0,0,0,1,6,nonspam
0,0,0,4.34,0.735,2.571,18,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,2.43,0,1.555,14,nonspam
0,0,0,0,0,1.979,97,nonspam
0,0,0,0,0,1.873,118,nonspam
0,0,0,0,0,2,82,nonspam
0,0,0,4.34,0,1,8,nonspam
0,0,0,0,0,1.222,11,nonspam
0,0,0,0,0,2.25,9,nonspam
0,0,0,0,0,2.666,8,nonspam
0,0,0,3.28,0.116,2,88,nonspam
0,0,0,2,0,5.888,53,nonspam
0,0,0,0,0,4.128,161,nonspam
0,0,0,0,0,2,6,nonspam
0,0,0,0,0,1.464,41,nonspam
0,0,0,0,0.506,2.047,43,nonspam
0,0,0,0,0,2.275,91,nonspam
0,0,0,0,0,4.382,298,nonspam
0,0,0,1.18,0,2.216,215,nonspam
0.67,0,0,3.37,0,1.87,58,nonspam
0,0,0,0,0,1.564,61,nonspam
0,0,0,0,0,2.333,7,nonspam
